Designator,Mid X,Mid Y,Rotation,Layer
C1,29.5,24.5,270.0,top
C10,45.6,51.5,270.0,top
C11,21.5,45.5,270.0,top
C12,46.8,49.9,180.0,top
C13,20.5,45.5,270.0,top
C14,46.8,49.1,180.0,top
C15,26.0,42.5,270.0,top
C16,26.0,45.0,90.0,top
C2,24.5,24.5,270.0,top
C3,27.0,25.2,180.0,top
C4,43.5,43.5,270.0,top
C5,21.5,39.5,270.0,top
C6,48.5,39.5,90.0,top
C7,21.5,27.0,270.0,top
C8,48.5,27.0,90.0,top
C9,19.6,52.6,270.0,top
D1,19.5,16.5,90.0,top
D2,50.5,16.5,270.0,top
D3,25.75,40.0,0.0,top
D4,24.25,39.0,90.0,top
D5,45.5,38.0,270.0,top
D6,20.575,32.5,0.0,top
D7,46.0,32.0,180.0,top
J10,12.5,50.0,0.0,top
J11,57.5,50.0,180.0,top
J12,38.5,22.3,0.0,top
J2,12.5,16.5,0.0,top
J3,57.5,16.5,180.0,top
J5,25.5,16.05,0.0,top
J6,12.5,39.5,0.0,top
J7,57.5,39.5,180.0,top
J8,12.5,27.0,0.0,top
J9,57.5,27.0,180.0,top
L1,27.0,27.8,180.0,top
R1,27.0,21.3,180.0,top
R10,33.05,29.7,270.0,top
R11,34.15,29.7,270.0,top
R12,36.35,29.7,270.0,top
R13,38.55,29.7,270.0,top
R14,39.65,29.7,270.0,top
R15,40.75,29.7,270.0,top
R16,45.1,44.9,270.0,top
R2,25.199999,21.3,180.0,top
R3,28.8,21.3,180.0,top
R4,19.5,14.5,270.0,top
R5,50.5,18.5,90.0,top
R6,43.5,45.5,270.0,top
R7,21.0,21.5,90.0,top
R8,20.0,21.5,270.0,top
R9,31.95,29.7,270.0,top
U1,27.0,23.2,0.0,top
U2,35.0,39.0,0.0,top
U3,22.0,52.0,90.0,top
U4,48.0,52.0,90.0,top
U5,22.0,48.0,0.0,top
U6,48.0,47.5,180.0,top
